Ad set ID;Age;Gender;reach;impressions;frequency;Currency;cpm;cpc;ctr;amount spent (EUR);purchases;Reporting starts;Reporting ends
23854320712330129;55-64;male;6451;11502;1.782986111;EUR;27.5743951;1.391104048;2.092085128;396.4646528;5;2023-01-01;2023-04-30
23853958531360129;25-34;female;12698;14480;1.140372984;EUR;21.8201105;2.206391064;0.937016576;394.944;10;2023-01-01;2023-04-30
23853687585440129;35-44;female;4314;7790;1.805823442;EUR;40.43463079;1.654252104;2.390880144;393.712;9;2023-01-01;2023-04-30
23853687585440129;25-34;female;5306;9423;1.776085645;EUR;33.15052211;1.895533984;1.636811272;390.48;6;2023-01-01;2023-04-30
23852314592870129;25-34;female;19866;25131;1.265061211;EUR;12.40724279;1.362801136;0.886229072;389.7611252;7;2023-01-01;2023-04-30
23852531898950129;25-34;female;14566;17606;1.208699473;EUR;17.70737914;1.427487176;1.315885136;389.704;3;2023-01-01;2023-04-30
23853130348280129;25-34;male;22554;29107;1.290578888;EUR;10.68356423;1.170815664;0.78935796;388.7108009;5;2023-01-01;2023-04-30
23853146881810129;35-44;female;15798;18618;1.178558768;EUR;16.6787937;1.260277808;1.347484208;388.1655656;4;2023-01-01;2023-04-30
23853182476040129;35-44;female;9818;12237;1.246414602;EUR;25.15167364;1.430185872;1.574267784;384.72;12;2023-01-01;2023-04-30
23853855968070129;25-34;male;9747;13956;1.431795798;EUR;21.98314703;1.85263768;1.884780736;383.496;8;2023-01-01;2023-04-30
23853470597090129;25-34;male;12858;15343;1.193243327;EUR;19.9809078;1.299029936;1.48078628;383.2138308;10;2023-01-01;2023-04-30
23854100757070129;18-24;male;12992;15070;1.159975369;EUR;20.27107213;2.042066616;1.070177304;381.8664568;11;2023-01-01;2023-04-30
23852531898950129;45-54;female;8192;10024;1.223632813;EUR;30.30933759;1.406577776;2.37509976;379.776;6;2023-01-01;2023-04-30
23853662536380129;45-54;male;7040;11803;1.676590909;EUR;25.48065933;1.781713968;1.491121048;375.9416477;8;2023-01-01;2023-04-30
23853277965280129;35-44;male;10931;19062;1.743779274;EUR;15.75842455;1.706709008;0.919964744;375.4759817;9;2023-01-01;2023-04-30
23852526898840129;35-44;female;12134;16002;1.318697257;EUR;18.62333766;1.526655736;1.347865216;372.504;4;2023-01-01;2023-04-30
23854012916660129;45-54;female;5939;9739;1.63981681;EUR;30.44358187;1.807903248;1.91884344;370.6201657;10;2023-01-01;2023-04-30
23853856018680129;25-34;female;7744;9498;1.226446281;EUR;31.0074124;2.437880792;1.448787064;368.12;6;2023-01-01;2023-04-30
23853785313860129;25-34;female;11354;14118;1.243447012;EUR;20.80746314;2.680213888;0.788802632;367.1893021;9;2023-01-01;2023-04-30
23853451509910129;35-44;female;6289;9688;1.540516474;EUR;30.2880202;1.93046276;1.744013216;366.7879246;10;2023-01-01;2023-04-30
23853741619790129;25-34;male;10496;19202;1.829496951;EUR;15.26875807;1.736947864;0.999875016;366.496;10;2023-01-01;2023-04-30
